product_id,title,brand,category,subcategory,marketplaces,attributes,image_quality_score,listing_status
P001,"Running Shoes - Blue",BrandA,"footwear","running_shoes","[""amazon"",""flipkart""]","{""gender"":""men"",""size_range"":""UK7-11"",""material"":""mesh"",""occasion"":""sports""}",0.9,"active"
P002,"Formal Shirt - White",BrandB,"apparel","formal_shirts","[""amazon"",""meesho""]","{""gender"":""men"","""fabric"":""cotton"",""fit"":""slim"",""sleeve"":""full""}",0.82,"active"
P003,"Casual T-Shirt - Black",BrandC,"apparel","tshirts","[""amazon"",""flipkart"",""meesho""]","{""gender"":""unisex"",""fabric"":""cotton"",""pattern"":""solid"",""sleeve"":""half""}",0.76,"active"
P004,"Women Saree - Red Silk Blend",BrandD,"ethnic_wear","sarees","[""myntra"",""meesho""]","{""gender"":""women"",""fabric"":""silk_blend"",""occasion"":""festive"",""work"":""zari""}",0.88,"active"
P005,"Sports Socks - Pack of 3",BrandE,"accessories","socks","[""amazon""]","{""gender"":""unisex"",""material"":""cotton_blend"",""count"":3}",0.74,"active"
P006,"Running Shoes - Black",BrandA,"footwear","running_shoes","[""amazon"",""flipkart"",""myntra""]","{""gender"":""men"",""size_range"":""UK6-10"",""material"":""mesh"",""occasion"":""running""}",0.91,"active"
P007,"Women's Running Shoes - Pink",BrandA,"footwear","running_shoes","[""amazon"",""myntra""]","{""gender"":""women"",""size_range"":""UK4-8"",""material"":""mesh"",""occasion"":""fitness""}",0.89,"active"
P008,"Casual Shirt - Checks Blue",BrandB,"apparel","casual_shirts","[""amazon"",""flipkart""]","{""gender"":""men"",""fabric"":""cotton_blend"",""pattern"":""checked"",""sleeve"":""full""}",0.8,"active"
P009,"Polo T-Shirt - Navy",BrandC,"apparel","tshirts","[""amazon"",""flipkart"",""myntra""]","{""gender"":""men"",""fabric"":""cotton"",""pattern"":""solid"",""collar"":""polo""}",0.79,"active"
P010,"Women Kurti - Floral Print",BrandD,"ethnic_wear","kurtis","[""myntra"",""meesho""]","{""gender"":""women"",""fabric"":""rayon"",""pattern"":""floral"",""occasion"":""casual""}",0.83,"active"
P011,"Slim Fit Jeans - Dark Blue",BrandF,"apparel","jeans","[""amazon"",""flipkart""]","{""gender"":""men"",""fit"":""slim"",""fabric"":""cotton_spandex"",""wash"":""dark""}",0.86,"active"
P012,"Straight Fit Jeans - Light Blue",BrandF,"apparel","jeans","[""amazon"",""myntra""]","{""gender"":""women"",""fit"":""straight"",""fabric"":""cotton"",""wash"":""light""}",0.84,"active"
P013,"Winter Jacket - Black",BrandG,"apparel","jackets","[""amazon"",""flipkart""]","{""gender"":""unisex"",""material"":""polyester"",""lining"":""fleece"",""occasion"":""winter""}",0.9,"active"
P014,"Hoodie - Grey",BrandC,"apparel","hoodies","[""amazon"",""meesho""]","{""gender"":""unisex"",""material"":""cotton_blend"",""pattern"":""solid"",""occasion"":""casual""}",0.78,"active"
P015,"Kids T-Shirt - Cartoon Print",BrandH,"kidswear","tshirts_kids","[""amazon"",""flipkart""]","{""gender"":""boys"",""fabric"":""cotton"",""pattern"":""graphic"",""age_group"":""4-8""}",0.72,"active"
P016,"Kids Dress - Pink",BrandH,"kidswear","dresses_kids","[""myntra"",""meesho""]","{""gender"":""girls"",""fabric"":""polyester"",""occasion"":""party"",""age_group"":""4-8""}",0.8,"active"
P017,"Men's Leather Wallet - Brown",BrandI,"accessories","wallets","[""amazon"",""flipkart""]","{""gender"":""men"",""material"":""leather"",""slots"":8}",0.77,"active"
P018,"Women Handbag - Tan",BrandJ,"accessories","handbags","[""amazon"",""myntra""]","{""gender"":""women"",""material"":""pu_leather"",""compartments"":3}",0.81,"active"
P019,"Ankle Socks - Pack of 5",BrandE,"accessories","socks","[""amazon"",""flipkart"",""meesho""]","{""gender"":""unisex"",""material"":""cotton_blend"",""count"":5}",0.73,"active"
P020,"Track Pants - Black",BrandC,"apparel","track_pants","[""amazon"",""flipkart"",""meesho""]","{""gender"":""men"",""fabric"":""polyester"",""occasion"":""sports"",""fit"":""regular""}",0.8,"active"
